time,BTC,ETH,BNB,SOL,ADA,DOT,BUSD
0,14:06:20,23433.92,1609.37,,317.65,24.35,0.3906,6.586
0,14:06:23,23433.48,1609.32,,317.65,24.35,0.3906,6.586
0,14:06:25,23433.48,1609.32,,317.73,24.35,0.3906,6.586
0,14:06:27,23433.92,1609.32,,317.65,24.35,0.3906,6.586
0,14:06:30,23434.39,1609.31,,317.65,24.35,0.3906,6.586
0,14:06:32,23434.39,1609.41,,317.65,24.35,0.3906,6.587
0,14:06:34,23434.37,1609.31,,317.65,24.35,0.3906,6.586
0,14:06:36,23433.92,1609.41,,317.65,24.35,0.3906,6.587
0,14:06:39,23434.17,1609.41,,317.65,24.35,0.3906,6.587
0,14:06:41,23434.17,1609.68,,317.65,24.35,0.3906,6.587
0,14:06:43,23434.17,1609.68,,317.66,24.35,0.3906,6.587
0,14:06:46,23434.65,1609.68,,317.65,24.35,0.3906,6.587
0,14:06:48,23434.32,1609.42,,317.65,24.35,0.3906,6.587
0,14:06:50,23434.17,1609.71,,317.65,24.35,0.3905,6.587
0,14:06:53,23434.22,1609.75,,317.64,24.35,0.3905,6.587
0,14:06:55,23434.32,1609.75,,317.65,24.35,0.3905,6.587
0,14:06:57,23434.32,1609.75,,317.65,24.35,0.3905,6.587
0,14:06:59,23434.34,1609.75,,317.65,24.35,0.3905,6.587
0,14:07:02,23434.34,1609.75,,317.64,24.35,0.3905,6.587
0,14:07:04,23435.36,1609.75,,317.64,24.35,0.3905,6.587
0,14:07:07,23435.36,1609.75,,317.65,24.35,0.3905,6.587
0,14:07:09,23434.68,1609.74,,317.65,24.35,0.3906,6.587
0,14:07:13,23434.68,1609.74,,317.65,24.35,0.3906,6.586
0,14:07:15,23435.1,1609.61,,317.65,24.35,0.3906,6.586
0,14:07:17,23434.68,1609.75,,317.65,24.35,0.3906,6.586
0,14:07:20,23434.68,1609.61,,317.65,24.35,0.3906,6.586
0,14:07:22,23434.75,1609.6,,317.72,24.35,0.3906,6.586
0,14:07:25,23435.1,1609.6,,317.65,24.35,0.3906,6.586
0,14:07:27,23435.1,1609.6,,317.73,24.35,0.3906,6.586
0,14:07:29,23433.04,1609.36,,317.73,24.35,0.3906,6.586
0,14:07:32,23434.06,1609.36,,317.72,24.35,0.3906,6.586
0,14:07:34,23433.04,1609.35,,317.72,24.35,0.3906,6.586
0,14:07:36,23433.04,1609.35,,317.73,24.35,0.3906,6.586
0,14:07:38,23433.04,1609.33,,317.73,24.35,0.3906,6.586
0,14:07:41,23433.1,1609.35,,317.73,24.35,0.3906,6.586
0,14:07:44,23433.07,1609.33,,317.73,24.35,0.3906,6.586
0,14:07:47,23433.1,1609.33,,317.73,24.35,0.3906,6.586
0,14:07:49,23432.86,1609.33,,317.72,24.35,0.3906,6.586
0,14:07:52,23432.77,1609.33,,317.73,24.35,0.3906,6.586
0,14:07:55,23432.86,1609.25,,317.73,24.35,0.3906,6.586
0,14:07:57,23432.01,1609.2,,317.73,24.35,0.3906,6.586
0,14:07:59,23432.77,1609.05,,317.73,24.35,0.3906,6.586
0,14:08:01,23432.02,1609.18,,317.72,24.35,0.3906,6.586
0,14:08:04,23432.05,1609.17,,317.73,24.35,0.3906,6.586
0,14:08:06,23430.18,1609.22,,317.72,24.35,0.3905,6.586
0,14:08:08,23431.59,1609.18,,317.73,24.35,0.3905,6.586
0,14:08:11,23432.05,1609.22,,317.72,24.35,0.3905,6.586
0,14:08:13,23431.13,1609.22,,317.72,24.35,0.3905,6.586
0,14:08:15,23431.23,1609.22,,317.72,24.35,0.3905,6.586
0,14:08:17,23430.65,1609.39,,317.72,24.35,0.3905,6.586
0,14:08:19,23431.23,1609.39,,317.71,24.35,0.3905,6.586
0,14:08:22,23431.23,1609.43,,317.56,24.35,0.3906,6.586
0,14:08:24,23431.19,1609.43,,317.56,24.35,0.3906,6.586
0,14:08:26,23431.4,1609.42,,317.48,24.35,0.3906,6.586
0,14:08:29,23431.19,1609.42,,317.48,24.34,0.3906,6.586
0,14:08:31,23431.23,1609.43,,317.48,24.34,0.3906,6.586
0,14:08:33,23431.23,1609.47,,317.48,24.34,0.3906,6.586
0,14:08:35,23431.69,1609.47,,317.55,24.34,0.3906,6.586
0,14:08:38,23431.19,1609.4,,317.48,24.34,0.3906,6.586
0,14:08:40,23431.57,1609.47,,317.48,24.34,0.3906,6.586
0,14:08:42,23431.67,1609.41,,317.55,24.34,0.3906,6.586
